"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
79.2498	0.000379326
78.9998	0.000380101
78.7498	0.000370564
78.4998	0.000357928
78.2498	0.000344994
77.9998	0.000333609
77.7498	0.000328841
77.4998	0.00033051
77.2498	0.000329973
76.9998	0.000333013
76.7498	0.000331642
76.4998	0.000329258
76.2498	0.000322999
75.9998	0.000321629
75.7498	0.000313999
75.4998	0.000312271
75.2498	0.000310661
74.9998	0.000300827
74.7498	0.000294091
74.4998	0.000287415
74.2498	0.000285508
73.9998	0.000287713
73.7498	0.000292184
73.4998	0.00029272
73.2498	0.000285806
72.9998	0.000276031
72.7498	0.000268044
72.4998	0.000268759
72.2498	0.000266911
71.9998	0.000266494
71.7498	0.000258448
71.4998	0.000255229
71.2498	0.000250103
70.9998	0.000249507
70.7498	0.000244739
70.4998	0.000237406
70.2498	0.000234247
69.9998	0.000225128
69.7498	0.000224532
69.4998	0.000220777
69.2498	0.000222386
69.0005	0.000221492
68.7502	0.00022018
68.4999	0.0002172
68.2499	0.000214876
67.9999	0.000207425
67.7499	0.000207723
67.4999	0.000209034
67.2499	0.000205935
66.9999	0.00020218
66.7499	0.000189544
66.4999	0.00018412
66.2499	0.000183404
65.9999	0.000184
65.7499	0.000182272
65.4999	0.000183583
65.2499	0.000181914
64.9999	0.000183524
64.7499	0.000176431
64.4999	0.000176848
64.2499	0.000171603
63.9999	0.000169755
63.7499	0.000165821
63.4999	0.000162602
63.2499	0.000159861
62.9999	0.000156463
62.7499	0.000157178
62.4999	0.000154854
62.2499	0.000149191
61.9999	0.000147522
61.7502	0.000145853
61.4999	0.000146807
61.2499	0.000146986
60.9999	0.000142277
60.7499	0.000137509
60.4999	0.000131489
60.2499	0.000124157
59.9999	0.00012523
59.7499	0.000122786
59.4999	0.000119389
59.2499	0.000112355
58.9999	0.000109554
58.7499	0.000112355
58.4999	0.000119925
58.2499	0.000117302
57.9999	0.000112057
57.7499	0.00010258
57.4999	0.000101328
57.2499	0.000103593
56.9999	9.92E-05
56.7499	9.90E-05
56.4999	9.51E-05
56.2499	9.53E-05
56	9.17E-05
55.7508	8.58E-05
55.5	7.74E-05
55.25	8.27E-05
55	8.15E-05
54.75	8.16E-05
54.5	8.31E-05
54.25	7.83E-05
54	7.27E-05
53.75	6.87E-05
53.5	6.79E-05
53.25	6.62E-05
53	6.22E-05
52.75	6.26E-05
52.5005	5.92E-05
52.25	5.63E-05
52.001	5.37E-05
51.7508	5.23E-05
51.5	5.07E-05
51.2513	5.05E-05
51	4.08E-05
50.75	2.88E-05
50.5	2.12E-05
50.25	2.04E-05
50	2.41E-05
50	2.43E-05
50	2.18E-05
119.999	0.000429632
119.749	0.000430586
119.499	0.000432255
119.249	0.000428321
118.999	0.000433328
118.749	0.000433924
118.499	0.000433208
118.249	0.000433924
117.999	0.000435712
117.749	0.00043595
117.499	0.000436308
117.249	0.000437858
116.999	0.000438334
116.749	0.000437619
116.499	0.000435593
116.249	0.000433685
115.999	0.00043297
115.749	0.000432136
115.499	0.000428917
115.249	0.000433566
114.999	0.000430228
114.749	0.000432493
114.5	0.000435473
114.25	0.000435354
114.001	0.000434997
113.749	0.000436546
113.499	0.000434639
113.249	0.00043595
112.999	0.000434281
112.749	0.000431659
112.499	0.000433447
112.249	0.000432374
111.999	0.000431301
111.749	0.000429394
111.499	0.000428082
111.249	0.000429513
110.999	0.000429751
110.749	0.000430109
110.5	0.000433328
110.249	0.000429513
110.001	0.000431301
109.749	0.00042844
109.499	0.000427963
109.249	0.000427367
108.999	0.000429275
108.749	0.000428917
108.499	0.000427844
108.249	0.000427606
107.999	0.000429871
107.749	0.000432732
107.499	0.000431539
107.249	0.000429036
106.999	0.000430228
106.75	0.000427486
106.499	0.000427129
106.249	0.000427963
105.999	0.000427129
105.749	0.000422956
105.499	0.000424149
105.249	0.000423076
104.999	0.000425221
104.749	0.000425102
104.499	0.00042701
104.249	0.000424745
103.999	0.000425817
103.749	0.000423076
103.5	0.000426056
103.25	0.000422956
103	0.000420572
102.749	0.000421168
102.499	0.000420811
102.249	0.000421287
101.999	0.000421407
101.749	0.000418069
101.499	0.000421287
101.249	0.000422837
100.999	0.000420691
100.749	0.000418903
100.499	0.000420334
100.249	0.00041938
99.9995	0.000419857
99.7495	0.000416281
99.4995	0.000415685
99.2495	0.000416758
98.9995	0.000415565
98.7495	0.000415208
98.4995	0.000413658
98.2495	0.000414373
97.9995	0.000416281
97.7495	0.000414969
97.4995	0.000410201
97.2495	0.000411393
96.9995	0.000414969
96.7495	0.000409367
96.4995	0.000412943
96.2495	0.000408651
95.9995	0.00041342
95.7495	0.000418069
95.4995	0.000415446
95.2495	0.000414016
94.9995	0.000414493
94.7495	0.000412228
94.4995	0.000410916
94.2495	0.00041342
93.9995	0.00040889
93.7495	0.000409486
93.4995	0.000406625
93.2496	0.00040889
92.9996	0.000409486
92.7496	0.000409367
92.4996	0.000409128
92.2496	0.000406506
91.9996	0.000411155
91.7496	0.000409724
91.4996	0.000410201
91.2496	0.000409128
91.0009	0.000404002
90.7496	0.000407578
90.4996	0.00040436
90.2496	0.00040281
89.9996	0.000405194
89.7496	0.000409009
89.4996	0.000405552
89.2496	0.000405433
88.9996	0.000403168
88.7496	0.000404837
88.4996	0.000401856
88.2496	0.000399711
87.9996	0.000397922
87.7496	0.000400426
87.4996	0.000400068
87.2496	0.000402691
86.9996	0.000401976
86.7496	0.000404241
86.4996	0.000406148
86.2496	0.000402691
